r,avg. time, variance
1,1043373,2.20967993E12
2,1477291,1.90689352E12
3,1835828,9.3387037E11
4,2266193,8.4492648E11
5,3008892,1.61805304E12
6,3604200,2.10695737E12
7,4042469,1.99909284E12
8,4431399,2.21746928E12
9,4953310,1.69121074E12
10,5450324,1.73276974E12
