r,avg. time, variance
1,2413369,4.1475828E13
2,3544833,3.64197603E12
3,5546482,5.0078721E12
4,7845518,7.8446225E12
5,8930365,6.728029E12
6,11747877,8.5558527E12
7,15059363,9.2981428E12
8,18582153,1.19995378E13
9,22593410,1.41328961E13
10,26796322,2.03319495E13
