r,avg. time, variance
1,7638999.84700002,4.142348392209567E11
2,1.1294277540199948E7,9.725253271633156E11
3,1.124325522360003E7,1.517920909383091E11
4,1.0972535998200024E7,2.4491246786470566E11
5,1.0633510558199989E7,1.1282504076157307E11
6,1.0646916152900001E7,1.4709250579415118E11
7,1.0635403196299976E7,1.3046030497066742E11
8,1.0636926175000021E7,9.5769102512687E10
9,1.0656188607700028E7,1.6494193748088983E11
10,1.0718090856699998E7,2.107392498203534E11
